timestamp,building_id,device_id,energy_kwh,temperature,occupancy
2026-01-01 00:00,Building-A,HVAC-1,28,24,10
2026-01-01 01:00,Building-A,HVAC-1,25,23,8
2026-01-01 02:00,Building-A,Lighting-2,12,23,4
2026-01-01 03:00,Building-A,Server-1,35,22,3
2026-01-01 04:00,Building-B,HVAC-2,24,22,5
2026-01-01 05:00,Building-B,Lighting-1,15,23,12
2026-01-01 06:00,Building-B,HVAC-2,42,26,34
2026-01-01 07:00,Building-A,HVAC-1,56,28,65
2026-01-01 08:00,Building-A,Server-1,44,29,90
2026-01-01 09:00,Building-A,HVAC-1,71,31,110
2026-01-01 10:00,Building-B,HVAC-2,76,32,130
2026-01-01 11:00,Building-B,Lighting-1,62,33,140
2026-01-01 12:00,Building-A,HVAC-1,84,34,150
2026-01-01 13:00,Building-A,Server-1,78,34,145
2026-01-01 14:00,Building-B,HVAC-2,92,35,150
2026-01-01 15:00,Building-B,Lighting-1,88,35,155
2026-01-01 16:00,Building-A,HVAC-1,97,34,160
2026-01-01 17:00,Building-A,Server-1,115,33,150
2026-01-01 18:00,Building-B,HVAC-2,132,32,130
2026-01-01 19:00,Building-B,Lighting-1,128,30,115
2026-01-01 20:00,Building-A,HVAC-1,105,28,80
2026-01-01 21:00,Building-A,Server-1,74,27,45
2026-01-01 22:00,Building-B,HVAC-2,50,25,20
2026-01-01 23:00,Building-B,Lighting-1,31,24,10
2026-01-02 00:00,Building-A,HVAC-1,29,24,8
2026-01-02 01:00,Building-A,HVAC-1,26,23,6
2026-01-02 02:00,Building-A,Lighting-2,13,23,4
2026-01-02 03:00,Building-A,Server-1,36,22,3
2026-01-02 04:00,Building-B,HVAC-2,25,22,5
2026-01-02 05:00,Building-B,Lighting-1,16,23,12
2026-01-02 06:00,Building-B,HVAC-2,43,26,35
2026-01-02 07:00,Building-A,HVAC-1,58,28,68
2026-01-02 08:00,Building-A,Server-1,45,29,92
2026-01-02 09:00,Building-A,HVAC-1,72,31,112
2026-01-02 10:00,Building-B,HVAC-2,78,32,134
2026-01-02 11:00,Building-B,Lighting-1,63,33,142
2026-01-02 12:00,Building-A,HVAC-1,86,34,153
2026-01-02 13:00,Building-A,Server-1,79,34,148
2026-01-02 14:00,Building-B,HVAC-2,95,35,152
2026-01-02 15:00,Building-B,Lighting-1,90,35,158
2026-01-02 16:00,Building-A,HVAC-1,99,34,162
2026-01-02 17:00,Building-A,Server-1,118,33,151
2026-01-02 18:00,Building-B,HVAC-2,138,32,131
2026-01-02 19:00,Building-B,Lighting-1,135,30,116
2026-01-02 20:00,Building-A,HVAC-1,107,28,82
2026-01-02 21:00,Building-A,Server-1,75,27,47
2026-01-02 22:00,Building-B,HVAC-2,52,25,21
2026-01-02 23:00,Building-B,Lighting-1,32,24,11
2026-01-03 00:00,Building-A,HVAC-1,85,24,7
2026-01-03 01:00,Building-A,HVAC-1,27,23,6
2026-01-03 02:00,Building-A,Lighting-2,14,23,4
2026-01-03 03:00,Building-A,Server-1,37,22,3
2026-01-03 04:00,Building-B,HVAC-2,26,22,5
2026-01-03 05:00,Building-B,Lighting-1,17,23,12
2026-01-03 06:00,Building-B,HVAC-2,44,26,36
2026-01-03 07:00,Building-A,HVAC-1,60,28,70
2026-01-03 08:00,Building-A,Server-1,47,29,95
2026-01-03 09:00,Building-A,HVAC-1,74,31,114
2026-01-03 10:00,Building-B,HVAC-2,81,32,136
2026-01-03 11:00,Building-B,Lighting-1,65,33,144
2026-01-03 12:00,Building-A,HVAC-1,88,34,155
2026-01-03 13:00,Building-A,Server-1,81,34,149
2026-01-03 14:00,Building-B,HVAC-2,97,35,154
2026-01-03 15:00,Building-B,Lighting-1,92,35,160
2026-01-03 16:00,Building-A,HVAC-1,101,34,163
2026-01-03 17:00,Building-A,Server-1,121,33,152
2026-01-03 18:00,Building-B,HVAC-2,141,32,132
2026-01-03 19:00,Building-B,Lighting-1,137,30,117
2026-01-03 20:00,Building-A,HVAC-1,110,28,83
2026-01-03 21:00,Building-A,Server-1,77,27,48
2026-01-03 22:00,Building-B,HVAC-2,53,25,22
2026-01-03 23:00,Building-B,Lighting-1,33,24,12
